HubId,StopId,Code,Name,StopType,Zone,Street,Lng,Lat,Routes
126,362,QBTH 039,Ngã Tư Nguyễn Xí,Trụ dừng,Quận Bình Thạnh,Đinh Bộ Lĩnh,106.709223,10.812625,"05, 08, 146, 24, 43, 60-3, 67, 93"
127,366,QBTH 010,Chợ Hàng Xanh,Trụ dừng,Quận Bình Thạnh,Bạch Đằng,106.710511,10.802793,"05, 08, 104, 146, 24, 43, 55, 60-3, 60-7, 67, 91"
128,367,QBTH 129,Trường Tiểu học Hồng Hà,Nhà chờ,Quận Bình Thạnh,Xô Viết Nghệ Tĩnh,106.710591,10.797328,"05, 06, 14, 19, 44, 52"
129,371,Q1 100,nhà thờ Mạc Ti Nho,Nhà chờ,Quận 1,Nguyễn Thị Minh Khai,106.701294,10.786397,"05, 06, 14, 45, 52"
130,374,Q1 099,Đài truyền hình,Nhà chờ,Quận 1,Nguyễn Thị Minh Khai,106.702011,10.787157,"05, 06, 14, 45, 52"
131,377,Q3 106,Bảo tàng chứng tích chiến tranh,Nhà chờ,Quận 3,Võ Văn Tần,106.69254,10.779143,"05, 06, 14, DL01, DL02"
132,378,Q3 085,Hồ Con Rùa,Trụ dừng,Quận 3,Trần Cao Vân,106.696411,10.783314,"05, 06, 14, 52"
133,380,Q3 069,Cách Mạng tháng 8,Trụ dừng,Quận 3,Nguyễn Thị Minh Khai,106.689021,10.77342,"05, 06, 14, 38"
134,384,Q10 080,Ngã tư Trần Bình Trọng,Nhà chờ,Quận 10,Hùng Vương,106.678963,10.763913,"05, 53"
135,393,Q11 021,Bệnh viện Răng Hàm Mặt,Trụ dừng,Quận 11,Nguyễn Chí Thanh,106.660828,10.758364,"05, 45, 62, 94"
136,394,BX73,Đại học Nông Lâm,Bến xe,Quận Thủ Đức,Quốc lộ 1,106.78744506835938,10.868183135986328,"06, 104, 60-2, 89"
137,396,QTD 174,ĐH Nông Lâm,Trụ dừng,Quận Thủ Đức,Quốc lộ 1,106.790283,10.866912,"06, 19, 33, 50, 52, 60-1, 60-2, 93"
138,397,Q5 013,Rạp Đại Quang,Nhà chờ,Quận 5,Châu Văn Liêm,106.658792,10.752445,"07, 08, 45, 56, 62"
139,398,QTD 074,Khu Công nghệ cao Q9,Trụ dừng,Quận Thủ Đức,Xa Lộ Hà Nội,106.791138,10.860218,"06, 08, 150, 30, 52, 60-3, 60-7, 67, 76"
140,400,QTD 065,Trường Đại học Sư phạm Kỹ thuật,Nhà chờ,Quận Thủ Đức,Võ Văn Ngân,106.772105,10.849871,"06, 08, 141, 56, 57, 89"
141,401,QTD 076,Công ty Cocacola,Trụ dừng,Quận Thủ Đức,Xa Lộ Hà Nội,106.784964,10.856483,"06, 08, 150, 30, 52, 60-3, 60-7, 67, 76"
142,402,QTD 066,Siêu thị Nguyễn Kim,Trụ dừng,Quận Thủ Đức,Võ Văn Ngân,106.768837,10.849805,"06, 08, 141, 56, 57, 61-1, 89"
143,406,QTD 059,Làng Thiếu Niên Thủ Đức,Trụ dừng,Quận Thủ Đức,Đặng Văn Bi,106.758698,10.849723,"06, 29, 56"
144,409,QTD 063,Tu viện Quảng Đức,Trụ dừng,Quận Thủ Đức,Đặng Văn Bi,106.766338,10.839349,"06, 29, 56"
145,410,QTD 080,Ngã 4 Bình Thái,Nhà chờ,Quận Thủ Đức,Xa Lộ Hà Nội,106.765244,10.834945,"06, 10, 104, 150, 30, 52, 53, 55, 56, 60-3, 60-7, 67"
146,412,QTD 082,Ngã 4 Tây Hòa (RMK),Nhà chờ,Quận Thủ Đức,Xa Lộ Hà Nội,106.759998,10.825366,"06, 104, 150, 30, 52, 55, 56, 60-3, 60-7, 67, 99"
147,414,QTD 083,Xi măng Hà Tiên,Nhà chờ,Quận Thủ Đức,Xa Lộ Hà Nội,106.758142,10.820576,"06, 104, 150, 30, 52, 55, 56, 60-3, 60-7, 67, 99"
148,415,Q2 075,Cát Lái,Nhà chờ,Quận 2,Xa Lộ Hà Nội,106.747948,10.802925,"06, 10, 104, 150, 30, 52, 55, 56, 60-3, 60-7, 67"
149,417,Q2 077,Thảo Điền,Nhà chờ,Quận 2,Xa Lộ Hà Nội,106.738762,10.801309,"06, 104, 150, 30, 52, 55, 56, 60-3, 60-7, 67, 72-1"
150,418,Q2 078,Cầu Đen,Nhà chờ,Quận 2,Xa Lộ Hà Nội,106.73436,10.800451,"06, 104, 150, 30, 52, 53, 55, 56, 60-3, 60-7, 67, 72-1"
151,419,QBTH 056,Cầu Sài Gòn,Trụ dừng,Quận Bình Thạnh,Điện Biên Phủ,106.719571,10.798893,"06, 104, 150, 43, 52, 55, 60-3, 60-7, 67"
152,420,QBTH 055,Khu Du lịch Văn Thánh,Nhà chờ,Quận Bình Thạnh,Điện Biên Phủ,106.717227,10.800274,"06, 10, 104, 150, 43, 44, 52, 55, 60-3, 60-7, 67"
153,421,QBTH 054,Đại học Hutech,Nhà chờ,Quận Bình Thạnh,Điện Biên Phủ,106.714856,10.801228,"06, 104, 14, 150, 19, 43, 44, 45, 52, 55, 60-3, 60-7, 67, 72-1"
154,422,QBTHT056,UBND Quận Bình Thạnh,Trụ dừng,Quận Bình Thạnh,Phan Đăng Lưu,106.695153,10.802666,"08, 104, 18, 31, 36, 55, 60-7"
155,423,QBTH 053,Cây xăng dầu,Trụ dừng,Quận Bình Thạnh,Điện Biên Phủ,106.712834,10.801697,"06, 104, 14, 150, 19, 43, 44, 45, 52, 55, 60-7, 67"
156,426,Q5 001,Đại học Sư Phạm,Nhà chờ,Quận 5,An Dương Vương,106.68267,10.76103,"06, 139, 38, 45, 56"
157,427,Q5 003,Huỳnh Mẫn Đạt,Trụ dừng,Quận 5,An Dương Vương,106.675272,10.757984,"06, 139, 38, 45, 56"
158,431,Q5 031,Công viên Văn Lang,Nhà chờ,Quận 5,Hùng Vương,106.668566,10.757257,"06, 139, 56, 68, 91"
159,432,Q5 068,Công viên Văn Lang,Trụ dừng,Quận 5,Nguyễn Tri Phương,106.669613,10.757151,"06, 07, 139, 150, 56, 59, 68"
160,433,Q5 017,Bệnh viện Phạm Ngọc Thạch,Nhà chờ,Quận 5,Hồng Bàng,106.664511,10.755897,"06, 07, 139, 150, 56, 68, 91"
161,434,Q5 018,Hùng Vương Plaza,Nhà chờ,Quận 5,Hồng Bàng,106.661072,10.755196,"06, 07, 08, 10, 139, 150, 56, 62, 63-1, 68, 91"
162,436,Q5 019,Bệnh viện Chợ Rẫy,Trụ dừng,Quận 5,Hồng Bàng,106.659501,10.754875,"06, 07, 08, 139, 150, 56, 62, 63-1, 68, 91"
163,437,Q5 025,Bệnh viện Chợ Rẫy,Trụ dừng,Quận 5,Hồng Bàng,106.659232,10.754553,"06, 07, 08, 139, 150, 56, 62, 63-1, 68"
164,439,Q5 026,Đại học Y Dược,Nhà chờ,Quận 5,Hồng Bàng,106.663191,10.75536,"06, 07, 10, 139, 150, 56, 68"
165,440,Q5 027,Bệnh viện Đại học Y Dược,Nhà chờ,Quận 5,Hồng Bàng,106.664683,10.755671,"06, 07, 139, 150, 56, 68"
166,442,Q10 071,Đại học Kinh tế,Trụ dừng,Quận 10,Nguyễn Tri Phương,106.668564,10.761386,"07, 10, 59"
167,446,Q10 074,Học viện Quân y,Trụ dừng,Quận 10,Nguyễn Tri Phương,106.667313,10.767052,"07, 59"
168,449,Q3 042,Chợ Nguyễn Văn Trỗi,Trụ dừng,Quận 3,Lê Văn Sỹ,106.679535,10.787041,"07, 28"
169,461,QPN 038,Đầu công viên Gia Định,Nhà chờ,Quận Phú Nhuận,Hoàng Minh Giám,106.677949,10.813231,"07, 148, 50, 59"
170,462,QGV 045,UBND Phường 5,Trụ dừng,Quận Gò Vấp,Nguyễn Thái Sơn,106.687975,10.825134,"07, 146, 148"
171,464,Q5 023,Bến xe Chợ Lớn,Trụ dừng,Quận 5,Hồng Bàng,106.652334,10.753331,"06, 09, 103, 139, 23, 62-1, 62-10, 62-6, 62-7, 63-1, 68, 81"
172,466,Q5 008,Huỳnh Mẫn Đạt,Trụ dừng,Quận 5,An Dương Vương,106.676576,10.758374,"06, 139, 38, 45, 56"
173,467,Q5 010,Đại học Sài Gòn,Nhà chờ,Quận 5,An Dương Vương,106.682321,10.760672,"06, 139, 38, 45, 56"
174,468,BX43,Bãi hậu cần số 1,Bến xe,Quận Gò Vấp,Phan Văn Trị,106.69188,10.823601,"07, 148"
175,475,QBTH 057,Cầu Sài Gòn,Trụ dừng,Quận Bình Thạnh,Điện Biên Phủ,106.719496,10.798525,"06, 104, 150, 43, 52, 55, 60-3, 60-7, 67"
176,476,QBTH 059,Đại học Hutech,Ô sơn,Quận Bình Thạnh,Điện Biên Phủ,106.714255,10.800827,"06, 104, 150, 43, 52, 55, 60-3, 60-7, 67, 72-1"
177,477,Q2 071,Cầu Đen,Nhà chờ,Quận 2,Xa Lộ Hà Nội,106.7342,10.799978,"06, 10, 104, 150, 30, 52, 53, 55, 56, 60-7, 67, 72-1"
178,478,Q2 072,Thảo Điền,Nhà chờ,Quận 2,Xa Lộ Hà Nội,106.738899,10.800838,"06, 104, 150, 30, 52, 55, 56, 60-3, 60-7, 67"
179,481,Q9 211,Ngã 4 Tây Hòa (RMK),Nhà chờ,Quận 9,Xa Lộ Hà Nội,106.760775,10.825972,"06, 104, 150, 30, 52, 55, 56, 60-3, 60-7, 67, 99"
180,482,Q9 210,Xi măng hà tiên - trạm thu phí,Nhà chờ,Quận 9,Xa Lộ Hà Nội,106.758394,10.819206,"06, 104, 150, 30, 52, 55, 56, 60-3, 60-7, 67, 99"
181,483,Q9 213,Khu QLGTDT số 2,Nhà chờ,Quận 9,Xa Lộ Hà Nội,106.764778,10.833249,"06, 10, 104, 150, 30, 52, 53, 55, 56, 60-7, 67"
182,485,Q9 212,Trạm xây dựng,Nhà chờ,Quận 9,Xa Lộ Hà Nội,106.76312,10.829955,"06, 104, 150, 30, 52, 55, 56, 60-3, 60-7, 67"
183,486,QTD 055,Công ty Sanofi Aventis,Trụ dừng,Quận Thủ Đức,Đặng Văn Bi,106.764175,10.841652,"06, 29, 56"
184,490,QTD 071,Cao đẳng xây dựng 2,Nhà chờ,Quận Thủ Đức,Võ Văn Ngân,106.764439,10.85065,"06, 08, 141, 56, 57, 61-1, 89"
185,493,QTD 070,Ngã ba Chương Dương,Trụ dừng,Quận Thủ Đức,Võ Văn Ngân,106.760931,10.850419,"06, 08, 141, 56, 57, 61-1, 89"
186,494,Q9 218,Công an Quận 9,Nhà chờ,Quận 9,Xa Lộ Hà Nội,106.775066,10.849966,"06, 08, 150, 30, 52, 60-3, 60-7, 67, 76"
187,495,Q9 220,Khu Công nghệ cao quận 9,Nhà chờ,Quận 9,Xa Lộ Hà Nội,106.788869,10.858511,"06, 08, 150, 30, 52, 60-3, 60-7, 67, 76"
