StopId,Code,Name,StopType,Zone,Street,Lng,Lat,Routes
2813,HBC 161,Chợ Tạm Ấp 4,Trụ dừng,Huyện Bình Chánh,Phạm Hùng,106.674623,10.732275,34
2815,HBC 162,Centre Mall,Trụ dừng,Huyện Bình Chánh,Phạm Hùng,106.673153,10.734389,34
2079,HBC 163,Hòa Bình,Trụ dừng,Huyện Bình Chánh,Phạm Hùng,106.671941,10.736091,34
3339,Q8 060,Đường 1011,Trụ dừng,Quận 8,Tạ Quang Bửu,106.669121,10.736265,"34, 59"
7655,Q8 149,THCS Tạ Quang Bửu,Trụ dừng,Quận 8,Tạ Quang Bửu,106.66133,10.73441,34
7654,Q8 148,THCS Tạ Quang Bửu,Nhà chờ,Quận 8,Tạ Quang Bửu,106.661464,10.734236,34
3300,Q8 059,Phạm Hùng,Trụ dừng,Quận 8,Tạ Quang Bửu,106.668577,10.735828,"34, 59"
1980,HBC 164,Hòa Bình,Trụ dừng,Huyện Bình Chánh,Phạm Hùng,106.671839,10.735959,34
2683,HBC 165,Centre Mall,Trụ dừng,Huyện Bình Chánh,Phạm Hùng,106.672992,10.734315,34
2679,HBC 166,Chợ Tạm Ấp 4,Trụ dừng,Huyện Bình Chánh,Phạm Hùng,106.674483,10.732228,34
2682,HBC 167,Nguyễn Văn Linh,Ô sơn,Huyện Bình Chánh,Phạm Hùng,106.676543,10.729382,34
4126,Q7 148,Mai Văn Vĩnh,Trụ dừng,Quận 7,Mai Văn Vĩnh,106.713756,10.73986,34
2685,Q7 149,đường số 41,Trụ dừng,Quận 7,Mai Văn Vĩnh,106.713778,10.743617,34
2684,Q7 144,Chợ Chiều,Trụ dừng,Quận 7,Đường số 17,106.71315,10.745025,34
2686,Q7 145,Trường Lê Thánh Tôn,Trụ dừng,Quận 7,Đường số 17,106.711412,10.745025,34
2688,Q7 138,Đường số 10,Ô sơn,Quận 7,Đường số 15,106.709722,10.745588,34
2687,Q7 140,Chợ Tân Quy,Ô sơn,Quận 7,Đường số 15,106.706488,10.745557,34
2691,Q7 141,Trạm Y tế Tân Quy,Ô sơn,Quận 7,Đường số 15,106.704926,10.745061,34
1988,Q7 061,Ủy ban Phường Tân Kiểng,Trụ dừng,Quận 7,Trần Xuân Soạn,106.706874,10.751728,34
1990,Q7 062,Bế Văn Cấm,Trụ dừng,Quận 7,Trần Xuân Soạn,106.709052,10.751739,34
1993,Q7 063,Miếu Bà Cố,Trụ dừng,Quận 7,Trần Xuân Soạn,106.71263,10.751776,34
1992,Q7 064,Nhà thờ Thuận Phát,Trụ dừng,Quận 7,Trần Xuân Soạn,106.715451,10.751818,34
2690,Q7 065,Cư xá Ngân hàng,Trụ dừng,Quận 7,Trần Xuân Soạn,106.719299,10.752925,34
78,Q1 021,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Hàm Nghi,106.699954,10.771017,"34, 38, 39, 45, 75"
1654,QBTH 118,Chợ Phan Văn Trị,Trụ dừng,Quận Bình Thạnh,Phan Văn Trị,106.695335,10.812493,36
1652,QBTH 119,Chùa Giác Quang,Trụ dừng,Quận Bình Thạnh,Phan Văn Trị,106.694595,10.819544,36
2730,QGV 004,Coop Mart,Trụ dừng,Quận Gò Vấp,Phan Văn Trị,106.681516,10.829644,36
2733,QGV 005,Cây xăng Petrolimex,Trụ dừng,Quận Gò Vấp,Phan Văn Trị,106.679167,10.830403,36
2732,QGV 006,Nhà máy Z751,Trụ dừng,Quận Gò Vấp,Phan Văn Trị,106.675454,10.831694,36
